ID,Name,Category,API_URL
1,Bulbasaur,Base Form,https://pokeapi.co/api/v2/pokemon/1/
2,Ivysaur,Base Form,https://pokeapi.co/api/v2/pokemon/2/
3,Venusaur,Base Form,https://pokeapi.co/api/v2/pokemon/3/
4,Charmander,Base Form,https://pokeapi.co/api/v2/pokemon/4/
5,Charmeleon,Base Form,https://pokeapi.co/api/v2/pokemon/5/
6,Charizard,Base Form,https://pokeapi.co/api/v2/pokemon/6/
7,Squirtle,Base Form,https://pokeapi.co/api/v2/pokemon/7/
8,Wartortle,Base Form,https://pokeapi.co/api/v2/pokemon/8/
9,Blastoise,Base Form,https://pokeapi.co/api/v2/pokemon/9/
10,Caterpie,Base Form,https://pokeapi.co/api/v2/pokemon/10/
11,Metapod,Base Form,https://pokeapi.co/api/v2/pokemon/11/
12,Butterfree,Base Form,https://pokeapi.co/api/v2/pokemon/12/
13,Weedle,Base Form,https://pokeapi.co/api/v2/pokemon/13/
14,Kakuna,Base Form,https://pokeapi.co/api/v2/pokemon/14/
15,Beedrill,Base Form,https://pokeapi.co/api/v2/pokemon/15/
16,Pidgey,Base Form,https://pokeapi.co/api/v2/pokemon/16/
17,Pidgeotto,Base Form,https://pokeapi.co/api/v2/pokemon/17/
18,Pidgeot,Base Form,https://pokeapi.co/api/v2/pokemon/18/
19,Rattata,Base Form,https://pokeapi.co/api/v2/pokemon/19/
20,Raticate,Base Form,https://pokeapi.co/api/v2/pokemon/20/
21,Spearow,Base Form,https://pokeapi.co/api/v2/pokemon/21/
22,Fearow,Base Form,https://pokeapi.co/api/v2/pokemon/22/
23,Ekans,Base Form,https://pokeapi.co/api/v2/pokemon/23/
24,Arbok,Base Form,https://pokeapi.co/api/v2/pokemon/24/
25,Pikachu,Base Form,https://pokeapi.co/api/v2/pokemon/25/
26,Raichu,Base Form,https://pokeapi.co/api/v2/pokemon/26/
27,Sandshrew,Base Form,https://pokeapi.co/api/v2/pokemon/27/
28,Sandslash,Base Form,https://pokeapi.co/api/v2/pokemon/28/
29,Nidoran F,Base Form,https://pokeapi.co/api/v2/pokemon/29/
30,Nidorina,Base Form,https://pokeapi.co/api/v2/pokemon/30/
31,Nidoqueen,Base Form,https://pokeapi.co/api/v2/pokemon/31/
32,Nidoran M,Base Form,https://pokeapi.co/api/v2/pokemon/32/
33,Nidorino,Base Form,https://pokeapi.co/api/v2/pokemon/33/
34,Nidoking,Base Form,https://pokeapi.co/api/v2/pokemon/34/
35,Clefairy,Base Form,https://pokeapi.co/api/v2/pokemon/35/
36,Clefable,Base Form,https://pokeapi.co/api/v2/pokemon/36/
37,Vulpix,Base Form,https://pokeapi.co/api/v2/pokemon/37/
38,Ninetales,Base Form,https://pokeapi.co/api/v2/pokemon/38/
39,Jigglypuff,Base Form,https://pokeapi.co/api/v2/pokemon/39/
40,Wigglytuff,Base Form,https://pokeapi.co/api/v2/pokemon/40/
41,Zubat,Base Form,https://pokeapi.co/api/v2/pokemon/41/
42,Golbat,Base Form,https://pokeapi.co/api/v2/pokemon/42/
43,Oddish,Base Form,https://pokeapi.co/api/v2/pokemon/43/
44,Gloom,Base Form,https://pokeapi.co/api/v2/pokemon/44/
45,Vileplume,Base Form,https://pokeapi.co/api/v2/pokemon/45/
46,Paras,Base Form,https://pokeapi.co/api/v2/pokemon/46/
47,Parasect,Base Form,https://pokeapi.co/api/v2/pokemon/47/
48,Venonat,Base Form,https://pokeapi.co/api/v2/pokemon/48/
49,Venomoth,Base Form,https://pokeapi.co/api/v2/pokemon/49/
50,Diglett,Base Form,https://pokeapi.co/api/v2/pokemon/50/
51,Dugtrio,Base Form,https://pokeapi.co/api/v2/pokemon/51/
52,Meowth,Base Form,https://pokeapi.co/api/v2/pokemon/52/
53,Persian,Base Form,https://pokeapi.co/api/v2/pokemon/53/
54,Psyduck,Base Form,https://pokeapi.co/api/v2/pokemon/54/
55,Golduck,Base Form,https://pokeapi.co/api/v2/pokemon/55/
56,Mankey,Base Form,https://pokeapi.co/api/v2/pokemon/56/
57,Primeape,Base Form,https://pokeapi.co/api/v2/pokemon/57/
58,Growlithe,Base Form,https://pokeapi.co/api/v2/pokemon/58/
59,Arcanine,Base Form,https://pokeapi.co/api/v2/pokemon/59/
60,Poliwag,Base Form,https://pokeapi.co/api/v2/pokemon/60/
61,Poliwhirl,Base Form,https://pokeapi.co/api/v2/pokemon/61/
62,Poliwrath,Base Form,https://pokeapi.co/api/v2/pokemon/62/
63,Abra,Base Form,https://pokeapi.co/api/v2/pokemon/63/
64,Kadabra,Base Form,https://pokeapi.co/api/v2/pokemon/64/
65,Alakazam,Base Form,https://pokeapi.co/api/v2/pokemon/65/
66,Machop,Base Form,https://pokeapi.co/api/v2/pokemon/66/
67,Machoke,Base Form,https://pokeapi.co/api/v2/pokemon/67/
68,Machamp,Base Form,https://pokeapi.co/api/v2/pokemon/68/
69,Bellsprout,Base Form,https://pokeapi.co/api/v2/pokemon/69/
70,Weepinbell,Base Form,https://pokeapi.co/api/v2/pokemon/70/
71,Victreebel,Base Form,https://pokeapi.co/api/v2/pokemon/71/
72,Tentacool,Base Form,https://pokeapi.co/api/v2/pokemon/72/
73,Tentacruel,Base Form,https://pokeapi.co/api/v2/pokemon/73/
74,Geodude,Base Form,https://pokeapi.co/api/v2/pokemon/74/
75,Graveler,Base Form,https://pokeapi.co/api/v2/pokemon/75/
76,Golem,Base Form,https://pokeapi.co/api/v2/pokemon/76/
77,Ponyta,Base Form,https://pokeapi.co/api/v2/pokemon/77/
78,Rapidash,Base Form,https://pokeapi.co/api/v2/pokemon/78/
79,Slowpoke,Base Form,https://pokeapi.co/api/v2/pokemon/79/
80,Slowbro,Base Form,https://pokeapi.co/api/v2/pokemon/80/
81,Magnemite,Base Form,https://pokeapi.co/api/v2/pokemon/81/
82,Magneton,Base Form,https://pokeapi.co/api/v2/pokemon/82/
83,Farfetchd,Base Form,https://pokeapi.co/api/v2/pokemon/83/
84,Doduo,Base Form,https://pokeapi.co/api/v2/pokemon/84/
85,Dodrio,Base Form,https://pokeapi.co/api/v2/pokemon/85/
86,Seel,Base Form,https://pokeapi.co/api/v2/pokemon/86/
87,Dewgong,Base Form,https://pokeapi.co/api/v2/pokemon/87/
88,Grimer,Base Form,https://pokeapi.co/api/v2/pokemon/88/
89,Muk,Base Form,https://pokeapi.co/api/v2/pokemon/89/
90,Shellder,Base Form,https://pokeapi.co/api/v2/pokemon/90/
91,Cloyster,Base Form,https://pokeapi.co/api/v2/pokemon/91/
92,Gastly,Base Form,https://pokeapi.co/api/v2/pokemon/92/
93,Haunter,Base Form,https://pokeapi.co/api/v2/pokemon/93/
94,Gengar,Base Form,https://pokeapi.co/api/v2/pokemon/94/
95,Onix,Base Form,https://pokeapi.co/api/v2/pokemon/95/
96,Drowzee,Base Form,https://pokeapi.co/api/v2/pokemon/96/
97,Hypno,Base Form,https://pokeapi.co/api/v2/pokemon/97/
98,Krabby,Base Form,https://pokeapi.co/api/v2/pokemon/98/
99,Kingler,Base Form,https://pokeapi.co/api/v2/pokemon/99/
100,Voltorb,Base Form,https://pokeapi.co/api/v2/pokemon/100/
101,Electrode,Base Form,https://pokeapi.co/api/v2/pokemon/101/
102,Exeggcute,Base Form,https://pokeapi.co/api/v2/pokemon/102/
103,Exeggutor,Base Form,https://pokeapi.co/api/v2/pokemon/103/
104,Cubone,Base Form,https://pokeapi.co/api/v2/pokemon/104/
105,Marowak,Base Form,https://pokeapi.co/api/v2/pokemon/105/
106,Hitmonlee,Base Form,https://pokeapi.co/api/v2/pokemon/106/
107,Hitmonchan,Base Form,https://pokeapi.co/api/v2/pokemon/107/
108,Lickitung,Base Form,https://pokeapi.co/api/v2/pokemon/108/
109,Koffing,Base Form,https://pokeapi.co/api/v2/pokemon/109/
110,Weezing,Base Form,https://pokeapi.co/api/v2/pokemon/110/
111,Rhyhorn,Base Form,https://pokeapi.co/api/v2/pokemon/111/
112,Rhydon,Base Form,https://pokeapi.co/api/v2/pokemon/112/
113,Chansey,Base Form,https://pokeapi.co/api/v2/pokemon/113/
114,Tangela,Base Form,https://pokeapi.co/api/v2/pokemon/114/
115,Kangaskhan,Base Form,https://pokeapi.co/api/v2/pokemon/115/
116,Horsea,Base Form,https://pokeapi.co/api/v2/pokemon/116/
117,Seadra,Base Form,https://pokeapi.co/api/v2/pokemon/117/
118,Goldeen,Base Form,https://pokeapi.co/api/v2/pokemon/118/
119,Seaking,Base Form,https://pokeapi.co/api/v2/pokemon/119/
120,Staryu,Base Form,https://pokeapi.co/api/v2/pokemon/120/
121,Starmie,Base Form,https://pokeapi.co/api/v2/pokemon/121/
122,Mr Mime,Base Form,https://pokeapi.co/api/v2/pokemon/122/
123,Scyther,Base Form,https://pokeapi.co/api/v2/pokemon/123/
124,Jynx,Base Form,https://pokeapi.co/api/v2/pokemon/124/
125,Electabuzz,Base Form,https://pokeapi.co/api/v2/pokemon/125/
126,Magmar,Base Form,https://pokeapi.co/api/v2/pokemon/126/
127,Pinsir,Base Form,https://pokeapi.co/api/v2/pokemon/127/
128,Tauros,Base Form,https://pokeapi.co/api/v2/pokemon/128/
129,Magikarp,Base Form,https://pokeapi.co/api/v2/pokemon/129/
130,Gyarados,Base Form,https://pokeapi.co/api/v2/pokemon/130/
131,Lapras,Base Form,https://pokeapi.co/api/v2/pokemon/131/
132,Ditto,Base Form,https://pokeapi.co/api/v2/pokemon/132/
133,Eevee,Base Form,https://pokeapi.co/api/v2/pokemon/133/
134,Vaporeon,Base Form,https://pokeapi.co/api/v2/pokemon/134/
